SEMEL_YISHUV,SHEM_YISHUV,KALPI2022,Stat2011,yishuv_stat2011
סמל היישוב,שם היישוב,מספר קלפי שנת 2022,מספר אזור סטטיסטי שנת 2011,סמל יישוב ואזור סטטיסטי 2011
472,אבו גוש,1,1,4720001
472,אבו גוש,2,1,4720001
472,אבו גוש,3,1,4720001
472,אבו גוש,4,1,4720001
472,אבו גוש,5,1,4720001
472,אבו גוש,6,1,4720001
472,אבו גוש,7,1,4720001
472,אבו גוש,8,1,4720001
472,אבו גוש,9,1,4720001
1342,אבו קרינאת (יישוב),1,1,13420001
1375,אבו תלול,1,1,13750001
1375,אבו תלול,2,1,13750001
652,אבטין,1,1,6520001
652,אבטין,2,1,6520001
652,אבטין,3,1,6520001
1275,אבטליון,1,1,12750001
679,אביאל,1,1,6790001
1115,אביבים,1,1,11150001
819,אביגדור,1,1,8190001
175,אביחיל,1,1,1750001
175,אביחיל,2,1,1750001
2052,אביטל,1,1,20520001
1070,אביעזר,1,1,10700001
1220,אבירים,1,1,12200001
182,אבן יהודה,1,1,1820001
182,אבן יהודה,2,1,1820001
182,אבן יהודה,3,1,1820001
182,אבן יהודה,4,1,1820001
182,אבן יהודה,5,1,1820001
182,אבן יהודה,6,1,1820001
182,אבן יהודה,7,1,1820001
182,אבן יהודה,8,1,1820001
182,אבן יהודה,9,1,1820001
182,אבן יהודה,10,1,1820001
182,אבן יהודה,11,1,1820001
182,אבן יהודה,12,1,1820001
182,אבן יהודה,13,1,1820001
182,אבן יהודה,14,1,1820001
182,אבן יהודה,15,1,1820001
182,אבן יהודה,16,1,1820001
182,אבן יהודה,17,1,1820001
182,אבן יהודה,990,1,1820001
1081,אבן מנחם,1,1,10810001
783,אבן ספיר,1,1,7830001
400,אבן שמואל,1,1,4000001
400,אבן שמואל,2,1,4000001
4011,אבני איתן,1,1,40110001
3793,אבני חפץ,1,1,37930001
3793,אבני חפץ,2,1,37930001
3793,אבני חפץ,3,1,37930001
3793,אבני חפץ,4,1,37930001
3786,אבנת,1,1,37860001
1311,אבשלום,1,1,13110001
3759,אדורה,1,1,37590001
113,אדירים,1,1,1130001
1068,אדמית,1,1,10680001
1123,אדרת,1,1,11230001
446,אודים,1,1,4460001
446,אודים,2,1,4460001
4010,אודם,1,1,40100001
1046,אוהד,1,1,10460001
2710,אום אל-פחם,1,14,27100014
2710,אום אל-פחם,2,14,27100014
2710,אום אל-פחם,3,14,27100014
2710,אום אל-פחם,4,15,27100015
2710,אום אל-פחם,5,15,27100015
2710,אום אל-פחם,6,12,27100012
2710,אום אל-פחם,7,13,27100013
2710,אום אל-פחם,8,13,27100013
2710,אום אל-פחם,9,11,27100011
2710,אום אל-פחם,10,32,27100032
2710,אום אל-פחם,11,31,27100031
2710,אום אל-פחם,12,31,27100031
2710,אום אל-פחם,13,31,27100031
2710,אום אל-פחם,14,22,27100022
2710,אום אל-פחם,15,31,27100031
2710,אום אל-פחם,16,21,27100021
2710,אום אל-פחם,17,21,27100021
2710,אום אל-פחם,18,21,27100021
2710,אום אל-פחם,19,34,27100034
2710,אום אל-פחם,20,33,27100033
2710,אום אל-פחם,21,34,27100034
2710,אום אל-פחם,22,33,27100033
2710,אום אל-פחם,23,13,27100013
2710,אום אל-פחם,24,34,27100034
2710,אום אל-פחם,25,33,27100033
2710,אום אל-פחם,26,15,27100015
2710,אום אל-פחם,27,31,27100031
2710,אום אל-פחם,28,34,27100034
2710,אום אל-פחם,29,22,27100022
2710,אום אל-פחם,30,11,27100011
2710,אום אל-פחם,31,33,27100033
2710,אום אל-פחם,32,31,27100031
2710,אום אל-פחם,33,32,27100032
2710,אום אל-פחם,34,12,27100012
2710,אום אל-פחם,35,15,27100015
2710,אום אל-פחם,36,34,27100034
2710,אום אל-פחם,37,31,27100031
2710,אום אל-פחם,39,22,27100022
2710,אום אל-פחם,41,13,27100013
2710,אום אל-פחם,42,33,27100033
2710,אום אל-פחם,43,11,27100011
2710,אום אל-פחם,44,13,27100013
2710,אום אל-פחם,45,12,27100012
2710,אום אל-פחם,46,12,27100012
2710,אום אל-פחם,47,22,27100022
2710,אום אל-פחם,48,34,27100034
2710,אום אל-פחם,49,33,27100033
2710,אום אל-פחם,50,33,27100033
2710,אום אל-פחם,51,15,27100015
2710,אום אל-פחם,52,31,27100031
2710,אום אל-פחם,53,15,27100015
2710,אום אל-פחם,54,15,27100015
2710,אום אל-פחם,55,32,27100032
2710,אום אל-פחם,56,15,27100015
2710,אום אל-פחם,57,31,27100031
2710,אום אל-פחם,58,14,27100014
2710,אום אל-פחם,59,33,27100033
2710,אום אל-פחם,60,13,27100013
2710,אום אל-פחם,61,34,27100034
2024,אום אל-קוטוף,1,1,20240001
