CODE-OF-STATISTICAL-AREA,INDEX-POPULATION-2019,INDEX-VALUE-2019,RANK-2019,CLUSTER-2019,CLUSTER-2017
323,385,-1.067,228,2,3
322,3155,-0.014,662,5,5
412,6411,0.385,926,6,6
321,5234,0.48,976,7,6
135,2666,0.564,1016,7,7
211,2821,0.668,1066,7,7
214,2396,0.685,1072,7,7
314,2472,0.698,1079,7,7
325,5272,0.723,1097,7,7
225,3333,0.83,1143,7,7
313,3778,0.878,1163,7,7
134,3878,0.879,1164,7,7
136,4447,0.88,1166,7,7
114,4793,0.901,1174,7,7
221,3814,0.91,1178,7,7
216,5218,0.919,1181,7,7
115,2806,0.932,1189,7,7
212,3474,0.939,1193,7,7
215,6124,0.941,1195,7,7
138,4316,0.95,1201,7,8
213,3302,0.953,1203,7,8
124,751,0.959,1210,7,8
113,3551,0.963,1215,7,8
137,2207,0.967,1220,7,7
311,3220,0.989,1227,7,7
133,5746,1.039,1249,8,8
116,3946,1.079,1267,8,8
121,3661,1.103,1275,8,8
324,5852,1.144,1294,8,8
222,6611,1.156,1302,8,8
224,4390,1.183,1312,8,8
223,4513,1.266,1346,8,8
132,3629,1.341,1392,8,8
122,2089,1.508,1451,9,9
131,2449,1.57,1472,9,9
312,4745,1.585,1478,9,9
123,3179,1.586,1479,9,9
125,2613,1.709,1520,9,9
112,4807,1.74,1528,9,9
418,7278,1.947,1588,10,9
417,488,1.953,1589,10,10
416,3271,2.11,1611,10,10
414,3840,2.132,1615,10,10
